RoleName,Platform,Value,ComparisonType
ZSC_XX_ENDUSERSPT-EXCEPTION_GO,PC1,SMOEAC,tcode
ZSC_XX_ENDUSERSPT-EXCEPTION_GO,PC1,SMOEACEX,tcode
ZSC_XX_ENDUSERSPT-PERFORMER_GO,PC1,AL11,tcode
ZSC_XX_ENDUSERSPT-PERFORMER_GO,PC1,SM21,tcode
ZSC_XX_ENDUSERSPT-PERFORMER_GO,PC1,SMOEAC,tcode
ZSC_XX_ENDUSERSPT-PERFORMER_GO,PC1,SMOEACEX,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,7KEH,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,7KEM,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,AL11,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,BD98,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,BDM6,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,CJCS,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,CJH2,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,CKMPROTDIS,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,CKMVFM,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,CL6P,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,CL6Q,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,CLB3,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,CN05,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,CO54,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,CT23,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,CT24,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,CT25,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,CV30,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,DSAL,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,FB00,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,FB03,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,FBF6,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,FBL1N,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,FK03,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,FOTV,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,GCTR,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,IH02,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,IH07,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,IH11,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,IH12,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,IH20,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,IK17,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,IK41,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,IK51,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,IL13,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,IN06,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,IN09,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,IN16,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,IN19,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,KE86,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,KO03,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,KOB1,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,KOB2,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,KSB1,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,MCJ3,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,MCJ7,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,MCS9,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,MCSC,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,ME23N,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,ME2L,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,MIGO,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,O023,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,S_ALR_87013019,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,S_ALR_87013611,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,SM21,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,WA03,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,WA30,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,WB35,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,WE02,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,WE05,tcode
ZSF_XX_ENDUSERSPT-PERFORMER_GO,PR1,ZIOBUD,tcode
