Standard Activity,Type,System,Platform,Entitlement Description,Entitlement Value,Authorization Object,Field-Level Security Name,Field-Level Security Value,4th Level Security Name,4th Level Security Value,Additional Comments
TBD,Job Function,04-CENTRALSTA,LEN1S2,DEPTACCESS,XXUSER,DEPT - TOM,MENU,BASIS20,,,
TBD,Job Function,04-CENTRALSTA,LEN1S2,DEPTACCESS,OMUSER,DEPT - TOM,MENU,BASIS20,,,
TBD,Job Function,04-CENTRALSTA,LEN1S2,DEPTACCESS,SMINQ,DEPT - TOM,MENU,BASIS20,,,
TBD,Job Function,06-OHIO / KY,CIN1S1,DEPTACCESS,XXUSER,DEPT - TOM,MENU,BASIS20,,,
TBD,Job Function,06-OHIO / KY,CIN1S1,DEPTACCESS,OMUSER,DEPT - TOM,MENU,BASIS20,,,
TBD,Job Function,06-OHIO / KY,CIN1S1,DEPTACCESS,SMINQ,DEPT - TOM,MENU,BASIS20,,,
TBD,Job Function,10-MIDAMERICA,LEN1S1,DEPTACCESS,XXUSER,DEPT - TOM,MENU,BASIS20,,,
TBD,Job Function,10-MIDAMERICA,LEN1S1,DEPTACCESS,OMUSER,DEPT - TOM,MENU,BASIS20,,,
TBD,Job Function,10-MIDAMERICA,LEN1S1,DEPTACCESS,SMINQ,DEPT - TOM,MENU,BASIS20,,,
TBD,Job Function,11-N. OHIO,CIN1S1,DEPTACCESS,XXUSER,DEPT - TOM,MENU,BASIS20,,,
TBD,Job Function,11-N. OHIO,CIN1S1,DEPTACCESS,OMUSER,DEPT - TOM,MENU,BASIS20,,,
TBD,Job Function,11-N. OHIO,CIN1S1,DEPTACCESS,SMINQ,DEPT - TOM,MENU,BASIS20,,,
TBD,Job Function,14-UP.NY/E.PA,CIN1S1,DEPTACCESS,XXUSER,DEPT - TOM,MENU,BASIS20,,,
TBD,Job Function,14-UP.NY/E.PA,CIN1S1,DEPTACCESS,OMUSER,DEPT - TOM,MENU,BASIS20,,,
TBD,Job Function,14-UP.NY/E.PA,CIN1S1,DEPTACCESS,SMINQ,DEPT - TOM,MENU,BASIS20,,,
